Price,Manufacturer,Model,Horse Power,Mileage,Transmission,Fuel,Posting Month,Posting Year,Age,country_of_origin,price_per_km,price_per_horsepower
0.09543010752688172,INFINITI,EX35,0.296875,0.2371891170088466,Automatic,Essence,November,2023,15,Japan,0.5244755244755245,3750.0
0.08736559139784947,IVECO,DAILY,0.15625,0.14371557336004007,Manual,Diesel,November,2023,8,Italy,0.7931034482758621,6272.727272727273
0.07795698924731183,VOLVO,XC60,0.1875,0.3156401268569521,Automatic,Essence,November,2023,13,Sweden,0.3263157894736842,4769.2307692307695
0.08736559139784947,AC,SEVEN,0.09375,0.09697880153563679,Automatic,Essence,November,2023,4,United Kingdom,1.1694915254237288,9857.142857142857
0.033602150537634407,LANCIA,YPSILON,0.046875,0.2071440494074445,Manual,Essence,November,2023,10,Italy,0.232,7250.0
0.0510752688172043,AC,SEVEN,0.09375,0.0024970789517609745,Manual,Essence,November,2023,1,United Kingdom,17.529215358931552,6000.0
0.07795564516129032,GEELY,GK-GS,0.0625,0.04022700717743282,Automatic,Essence,November,2023,2,China,2.47996,12399.8
0.010752688172043012,AC,SEVEN,0.09375,0.02186613253213153,Manual,Essence,November,2023,2,United Kingdom,0.8571428571428571,1714.2857142857142
0.044354838709677415,GEELY,GK-GL,0.078125,0.11700884660323818,Manual,Essence,November,2023,4,China,0.5211267605633803,6166.666666666667
0.034274193548387094,ALFA ROMEO,MITO,0.0625,0.3540310465698548,Manual,Diesel,November,2023,14,Italy,0.13849765258215962,5900.0
0.03629032258064516,GEELY,GK-GL,0.0625,0.14037723251543982,Manual,Essence,November,2023,5,China,0.36470588235294116,6200.0
0.06693548387096775,GEELY,GK-GL,0.078125,0.0485728592889334,Automatic,Essence,November,2023,2,China,1.7933333333333332,8966.666666666666
0.029569892473118278,ALFA ROMEO,MITO,0.0625,0.4558504423301619,Manual,Essence,November,2023,13,Italy,0.0948905109489051,5200.0
0.03494623655913978,INFINITI,FX35,0.296875,0.5326322817559672,Automatic,Essence,November,2023,16,Japan,0.09375,1500.0
0.01478494623655914,ALFA ROMEO,145,0.09375,0.2972792522116508,Manual,Essence,November,2023,26,Italy,0.08379888268156424,2142.8571428571427
0.032258064516129024,ALFA ROMEO,159,0.125,0.3156401268569521,Manual,Diesel,November,2023,15,Italy,0.14736842105263157,3111.1111111111113
0.03830645161290322,ALFA ROMEO,MITO,0.09375,0.37072275079285594,Manual,Essence,November,2023,15,Italy,0.14573991031390135,4642.857142857143
0.032258064516129024,LANCIA,YPSILON,0.046875,0.2071440494074445,Manual,Essence,November,2023,9,Italy,0.224,7000.0
0.06586021505376344,GEELY,MK-GL,0.078125,0.0485728592889334,Manual,Essence,December,2023,2,China,1.7666666666666666,8833.333333333334
0.0564516129032258,DS,DS3,0.078125,0.19879819729594392,Automatic,Essence,December,2023,5,France,0.38333333333333336,7666.666666666667
0.03494623655913978,ALFA ROMEO,MITO,0.078125,0.28225671841094974,Manual,Essence,November,2023,11,Italy,0.17647058823529413,5000.0
0.04637096774193548,DS,DS3,0.0625,0.17709898180604242,Manual,Essence,November,2023,7,France,0.3598130841121495,7700.0
0.02553763440860215,VOLVO,S40,0.078125,0.4046035720247037,Manual,Essence,December,2023,15,Sweden,0.09453427483990826,3833.3333333333335
0.06451612903225806,INFINITI,FX,0.296875,0.3156401268569521,Automatic,Essence,September,2023,16,Japan,0.2736842105263158,2600.0
0.04569892473118279,VOLVO,C30,0.078125,0.2555499916541479,Manual,Essence,October,2023,13,Sweden,0.24675324675324675,6333.333333333333
0.009408602150537633,ALFA ROMEO,156,0.078125,0.4258053747287598,Manual,Diesel,October,2023,22,Italy,0.04296875,1833.3333333333333
0.05846774193548387,GEELY,GK-GL,0.078125,0.08028709731263561,Manual,Essence,September,2023,2,China,0.9693877551020408,7916.666666666667
0.04973118279569892,IVECO,DAILY COMBI,0.046875,0.43748956768486064,Manual,Diesel,September,2023,7,Italy,0.155893536121673,10250.0
0.018145161290322582,ALFA ROMEO,147,0.09375,0.28225671841094974,Manual,Essence,August,2023,22,Italy,0.10294117647058823,2500.0
0.029569892473118278,ALFA ROMEO,MITO,0.0625,0.2981138374228009,Manual,Essence,July,2023,12,Italy,0.14484679665738162,5200.0
0.04032258064516128,ALFA ROMEO,GIULIETTA,0.09375,0.3039559339008513,Manual,Essence,March,2023,12,Italy,0.18579234972677597,4857.142857142857
0.05779569892473118,DS,DS5,0.125,0.3824069437489568,Automatic,Essence,March,2023,11,France,0.20434782608695654,5222.222222222223
0.07123655913978495,IVECO,DAILY COMBI,0.109375,0.4157903521949591,Manual,Diesel,March,2023,8,Italy,0.228,7125.0
0.032258064516129024,GEELY,GK-GL,0.078125,0.14538474378234018,Manual,Essence,April,2023,5,China,0.3181818181818182,4666.666666666667
0.08870967741935484,IVECO,DAILY COMBI,0.140625,0.13203138040393925,Manual,Diesel,May,2023,4,Italy,0.875,7000.0
0.04032258064516128,DS,DS3,0.0625,0.12368552829243866,Manual,Essence,March,2023,10,France,0.4533333333333333,6800.0
0.041666666666666664,IVECO,DAILY COMBI,0.109375,0.5326322817559672,Manual,Diesel,March,2023,18,Italy,0.109375,4375.0
0.026881720430107527,ALFA ROMEO,MITO,0.0625,0.39909864797195793,Manual,Essence,April,2023,12,Italy,0.1,4800.0
0.08870967741935484,IVECO,DAILY COMBI,0.109375,0.12368552829243866,Manual,Diesel,February,2023,6,Italy,0.9333333333333333,8750.0
0.03897849462365591,ALFA ROMEO,MITO,0.078125,0.30896344516775165,Manual,Essence,November,2022,14,Italy,0.1774193548387097,5500.0
