Price,Manufacturer,Model,Horse Power,Mileage,Transmission,Fuel,Posting Month,Posting Year,Age,country_of_origin,price_per_km,price_per_horsepower
19800.0,NISSAN,TERRANO,11.0,248000.0,Manual,Diesel,January,2023,32,Japan,0.07983870967741935,1800.0
56000.0,NISSAN,QASHQAI,5.0,190000.0,Manual,Diesel,February,2023,10,Japan,0.29473684210526313,11200.0
85000.0,NISSAN,QASHQAI,7.0,62000.0,Manual,Essence,January,2023,6,Japan,1.3709677419354838,12142.857142857143
12000.0,NISSAN,TERRANO,11.0,120000.0,Manual,Diesel,December,2022,29,Japan,0.1,1090.909090909091
68000.0,NISSAN,QASHQAI,6.0,120000.0,Automatic,Essence,January,2023,8,Japan,0.5666666666666667,11333.333333333334
65000.0,NISSAN,JUKE,5.0,91000.0,Manual,Diesel,January,2023,8,Japan,0.7142857142857143,13000.0
27500.0,NISSAN,MICRA,5.0,93000.0,Manual,Essence,January,2023,7,Japan,0.2956989247311828,5500.0
34500.0,NISSAN,QASHQAI,6.0,171000.0,Manual,Diesel,December,2022,12,Japan,0.20175438596491227,5750.0
28000.0,NISSAN,MURANO,17.0,168000.0,Automatic,Essence,January,2023,16,Japan,0.16666666666666666,1647.0588235294117
41500.0,NISSAN,NAVARA,8.0,295000.0,Automatic,Diesel,December,2022,16,Japan,0.14067796610169492,5187.5
74000.0,NISSAN,JUKE,6.0,60000.0,Manual,Essence,February,2024,3,Japan,1.2333333333333334,12333.333333333334
42000.0,NISSAN,JUKE,7.0,160000.0,Manual,Essence,February,2024,10,Japan,0.2625,6000.0
42500.0,NISSAN,JUKE,6.0,105000.0,Manual,Essence,February,2024,12,Japan,0.40476190476190477,7083.333333333333
55000.0,NISSAN,JUKE,6.0,134000.0,Manual,Essence,February,2024,9,Japan,0.41044776119402987,9166.666666666666
45000.0,NISSAN,JUKE,5.0,115000.0,Manual,Essence,February,2024,8,Japan,0.391304347826087,9000.0
82000.0,NISSAN,QASHQAI TEKNA PLUS,7.0,72000.0,Automatic,Essence,February,2024,7,Japan,1.1388888888888888,11714.285714285714
78000.0,NISSAN,QASHQAI,5.0,138000.0,Manual,Diesel,February,2024,5,Japan,0.5652173913043478,15600.0
39000.0,NISSAN,NAVARA,8.0,357000.0,Automatic,Diesel,February,2024,17,Japan,0.1092436974789916,4875.0
69000.0,NISSAN,QASHQAI,7.0,69000.0,Manual,Essence,February,2024,6,Japan,1.0,9857.142857142857
59500.0,NISSAN,QASHQAI TEKNA +,6.0,110000.0,Automatic,Essence,February,2024,7,Japan,0.5409090909090909,9916.666666666666
70000.0,NISSAN,QASHQAI,6.0,115000.0,Automatic,Essence,February,2024,7,Japan,0.6086956521739131,11666.666666666666
48000.0,NISSAN,QASHQAI+2,6.0,200000.0,Manual,Diesel,February,2024,14,Japan,0.24,8000.0
68000.0,NISSAN,JUKE,6.0,120000.0,Manual,Essence,February,2024,7,Japan,0.5666666666666667,11333.333333333334
58000.0,NISSAN,QASHQAI,6.0,167000.0,Automatic,Essence,February,2024,9,Japan,0.3473053892215569,9666.666666666666
