Price,Manufacturer,Model,Horse Power,Mileage,Transmission,Fuel,Posting Month,Posting Year,Age,country_of_origin
38900.0,DS,3 CHROMATIQUE,5.0,68400.0,Manual,Gasoline,February,2024,7,France
33900.0,DS,3,5.0,91000.0,Manual,Gasoline,January,2024,6,France
49000.0,ALFA ROMEO,GIULIETTA QUADRIFOGLIO,9.0,145000.0,Manual,Gasoline,February,2024,12,Italy
150000.0,ALFA ROMEO,STELVIO SPORT,17.0,73000.0,Automatic,Gasoline,February,2024,5,Italy
43000.0,ALFA ROMEO,GIULIETTA,9.0,182000.0,Automatic,Gasoline,January,2024,9,Italy
38000.0,LADA,NIVA,7.0,99000.0,Manual,Gasoline,March,2023,5,Russia
39000.0,LADA,NIVA CLASSIC,7.0,25600.0,Manual,Gasoline,January,2024,6,Russia
31000.0,TATA,XENON X2,7.0,64000.0,Manual,Diesel,February,2024,7,India
34500.0,TATA,XENON X2,7.0,70800.0,Manual,Diesel,February,2024,4,India
36000.0,BAIC,YX KENBO S2,7.0,93000.0,Manual,Gasoline,February,2024,6,China
42800.0,BAIC,YX KENBO S2,7.0,51000.0,Manual,Gasoline,February,2024,6,China
38000.0,BAIC,YX KENBO S2,7.0,130000.0,Manual,Gasoline,February,2024,6,China
97000.0,GREAT WALL,POER,11.0,9000.0,Manual,Diesel,February,2024,2,China
49000.0,GREAT WALL,M4,6.0,36000.0,Manual,Gasoline,February,2024,3,China
110000.0,GREAT WALL,POER,11.0,9000.0,Automatic,Diesel,February,2024,2,China
41200.0,GREAT WALL,M4,6.0,94000.0,Manual,Gasoline,February,2024,5,China
38700.0,GREAT WALL,M4,6.0,88750.0,Manual,Gasoline,February,2024,7,China
77000.0,HAVAL,H6,9.0,120000.0,Automatic,Gasoline,February,2024,4,China
117000.0,HAVAL,H6 LUXURY,8.0,17000.0,Automatic,Gasoline,February,2024,2,China
85000.0,HAVAL,H6,9.0,55000.0,Automatic,Gasoline,February,2024,5,China
87000.0,HAVAL,JOLION,9.0,40000.0,Automatic,Gasoline,February,2024,2,China
82000.0,HAVAL,H6,9.0,62000.0,Automatic,Gasoline,February,2024,4,China
80000.0,HAVAL,H6,9.0,90000.0,Automatic,Gasoline,February,2024,5,China
118000.0,HAVAL,H6,8.0,42000.0,Automatic,Gasoline,February,2024,2,China
77000.0,HAVAL,H6,9.0,108000.0,Automatic,Gasoline,February,2024,5,China
85000.0,HAVAL,H6,9.0,52000.0,Automatic,Gasoline,February,2024,4,China
89500.0,HAVAL,JOLION,9.0,25000.0,Automatic,Gasoline,February,2024,3,China
78000.0,HAVAL,H6,9.0,130000.0,Automatic,Gasoline,February,2024,5,China
79000.0,HAVAL,H6,9.0,106000.0,Automatic,Gasoline,February,2024,5,China
101460.0,HAVAL,H6,9.0,61000.0,Automatic,Gasoline,February,2024,3,China
85000.0,HAVAL,H6,9.0,79000.0,Automatic,Gasoline,February,2024,3,China
76000.0,HAVAL,H6,9.0,53000.0,Automatic,Gasoline,February,2024,5,China
65000.0,HAVAL,H6,9.0,100000.0,Automatic,Gasoline,February,2024,7,China
85000.0,HAVAL,H6 LUXURY,9.0,68800.0,Automatic,Gasoline,January,2024,5,China
85000.0,HAVAL,H6,9.0,45000.0,Automatic,Gasoline,February,2024,4,China
79000.0,HAVAL,H6,9.0,105000.0,Automatic,Gasoline,February,2024,5,China
89500.0,HAVAL,JOLION,9.0,29000.0,Automatic,Gasoline,February,2024,1,China
64000.0,HAVAL,H6,9.0,100000.0,Manual,Gasoline,February,2024,7,China
91000.0,HAVAL,JOLION,9.0,27000.0,Automatic,Gasoline,February,2024,2,China
66000.0,HAVAL,H2,9.0,65000.0,Automatic,Gasoline,February,2024,7,China
95000.0,HAVAL,H6,12.0,90000.0,Automatic,Gasoline,February,2024,4,China
85000.0,HAVAL,H6,9.0,66000.0,Automatic,Gasoline,February,2024,5,China
86000.0,HAVAL,H6,9.0,50000.0,Automatic,Gasoline,February,2024,4,China
85000.0,HAVAL,H6,9.0,77000.0,Automatic,Gasoline,February,2024,3,China
65000.0,HAVAL,H6,9.0,82730.0,Automatic,Gasoline,January,2024,6,China
92000.0,HAVAL,JOLION,9.0,21000.0,Automatic,Gasoline,February,2024,2,China
166500.0,CUPRA,FORMENTOR HIGHT-GRADE,11.0,31000.0,Automatic,Gasoline,February,2024,2,Spain
169000.0,CUPRA,FORMENTOR,8.0,19000.0,Automatic,Gasoline,February,2024,2,Spain
190000.0,CUPRA,FORMENTOR,11.0,0.0,Automatic,Gasoline,February,2024,1,Spain
170000.0,CUPRA,FORMENTOR,11.0,27000.0,Automatic,Gasoline,January,2024,2,Spain
69000.0,MG,ZS,7.0,59000.0,Automatic,Gasoline,December,2023,4,United Kingdom
61000.0,MG,ZS,7.0,80000.0,Manual,Gasoline,March,2023,6,United Kingdom
